"ID","Benzene","lon","lat"
"01",4.72287959538757,-73.4984683435821,45.6411851602901
"02",1.25556115382817,-73.4992821224283,45.6659665010871
"03",3.83378435133038,-73.5064097098922,45.6480040096534
"04",2.26881709633817,-73.5067916248067,45.621555098254
"05",2.13426728275124,-73.5131024832645,45.6104041617642
"06",1.4814738366708,-73.5124009460056,45.6010429556853
"07",2.03996499593569,-73.5330822560815,45.6079982150995
"08",1.54394902388142,-73.5282078123383,45.5884302513183
"09",1.88366275798441,-73.5452349505627,45.5937969992714
"10",1.39235322992468,-73.5906264378691,45.613061267101
"11",2.18770711130644,-73.567169890138,45.6024362440324
"13",1.17398850310616,-73.5827673232505,45.6485719290038
"15",0.874372452559293,-73.6026799098529,45.6400053177791
"16",1.1255150272929,-73.6228649173761,45.6263529515123
"17",1.82024584455626,-73.616696651558,45.6090504918162
"18",1.78461877776697,-73.6420426858463,45.6008846838716
"19",1.27536290458206,-73.642377763722,45.5939038654011
"20",1.74649330761236,-73.6355122144846,45.5819946763409
"21",1.80481267164494,-73.6226397985802,45.5852515701162
"22",2.63234767061087,-73.6103115403295,45.580943746894
"24",1.97504821850878,-73.5914542534794,45.5769142989181
"25",2.12033159356571,-73.5841902023803,45.5844303819526
"26",1.81956404285376,-73.5731453720083,45.563482454447
"27",1.94081317973516,-73.5590003540286,45.5809469756698
"28",1.74827223543839,-73.5410666940154,45.5765338067702
"29",1.77866398861491,-73.5275840711064,45.5583496122644
"30",1.85746724917718,-73.5411082573225,45.5447334681086
"31",2.14940422273421,-73.5537346736258,45.5528870441722
"32",2.11179214969948,-73.5588805555769,45.5405305528926
"33",1.64955395399701,-73.5855937626612,45.5540601283251
"34",1.62315368364814,-73.5922784487843,45.5454656481026
"35",1.70056112238549,-73.5801323233343,45.5404636912074
"36",0.397152232392861,-73.5856171993906,45.5316746369189
"37",1.55697707613509,-73.5737576254471,45.5266215303709
"38",2.36820316607276,-73.5554977949692,45.523070618521
"39",1.43592684480922,-73.5535996186797,45.5086987445494
"40",1.59586882553496,-73.5740678842568,45.5087671096623
"41",0.988365950002912,-73.6533326903049,45.5818731391427
"42",1.33094195485881,-73.6614934174078,45.5728959958254
"43",1.62177512916497,-73.6367958585089,45.5686794246568
"44",1.82932124781627,-73.6245487777969,45.5553730041895
"45",2.05463926290795,-73.6045816685127,45.5602524213255
"46",2.05168133307153,-73.6054081703899,45.5361665470004
"47",2.31104465883184,-73.6221255939719,45.5365674781643
"48",1.35827350800571,-73.6248267894521,45.5234853803388
"49",1.8639394768886,-73.6054462210284,45.5227103116126
"50",1.51348873465751,-73.6147139677209,45.5113556272197
"51",1.30406094141217,-73.6318001879373,45.5057468399026
"52",1.4564487106049,-73.6193903362076,45.4965513142034
"53",1.26562344770823,-73.6252904106007,45.4828866612937
"54",1.56124264557823,-73.6450775288903,45.4917642726766
"55",1.98708582139662,-73.6638261731074,45.5025975519035
"56",1.97932349149554,-73.653394380393,45.5218995340889
"57",2.09858056012747,-73.6430693598426,45.5322006487433
"58",1.4772684546538,-73.6432023800815,45.5458389264067
"59",1.38437140373234,-73.6607444816513,45.5504835152075
"60",1.63011510938868,-73.6758309340752,45.5337913327874
"61",1.65918656148745,-73.6818410642751,45.5330957592992
"62",1.31337705844344,-73.7012239693382,45.5378633824137
"63",1.28831309501545,-73.7188522958663,45.5280982352048
"64",1.5331876221068,-73.6968872332418,45.5165623062998
"65",1.28851974787172,-73.6893297173332,45.4963042144356
"66",1.52088262360278,-73.6671233498807,45.5098730177682
"67",1.76464218370191,-73.5509067460893,45.5358030799721
"68",1.54767869726538,-73.5845914346585,45.5148747887873
"69",1.27598776310796,-73.5853844760447,45.5000866890665
"70",1.5419098309595,-73.5673554779094,45.4912748164896
"71",1.36406851614778,-73.5944590843447,45.4877590843756
"72",1.62569689086685,-73.6854553113835,45.4400200390065
"73",1.35235872743332,-73.5631534894166,45.4723194854594
"74",1.13444466310659,-73.5616738620867,45.4635966695398
"75",1.20047033658959,-73.5818800952628,45.4642814256081
"76",1.14220224012322,-73.5695617080579,45.4506259292289
"77",1.07126596285224,-73.5833869388908,45.4373143628416
"78",1.03503008971355,-73.7029823942348,45.4473944394623
"79",1.25349506969712,-73.5995972635003,45.4647700884823
"80",1.13444905175594,-73.6159224611491,45.4751044829195
"82",1.33175434338948,-73.6446103326059,45.4696247600021
"83",1.14448934869296,-73.6633240716446,45.4740488873725
"84",1.06425357491549,-73.6642100783681,45.4614575376899
"85",1.14324254876619,-73.6865239452723,45.4468642913551
"86",1.14609670789652,-73.7175226804487,45.4389084329716
"87",0.716484453370369,-73.690586236637,45.4332290150234
"88",0.804365321533321,-73.6518493250417,45.4396462802851
"89",0.836825413669785,-73.6526959507983,45.4244891149973
