"","...1","Country","Date of reporting","Age group","Confirmed cases","Confirmed fatalities"
"1",9,"China","17 February2020","0-9",416,0
"2",10,"China","17 February2020","10-19",549,1
"3",11,"China","17 February2020","20-29",3619,7
"4",12,"China","17 February2020","30-39",7600,18
"5",13,"China","17 February2020","40-49",8571,38
"6",14,"China","17 February2020","50-59",10008,130
"7",15,"China","17 February2020","60-69",8583,309
"8",16,"China","17 February2020","70-79",3918,312
"9",17,"China","17 February2020","80+",1408,208
"10",0,"Italy","9 March2020","0-9",43,0
"11",1,"Italy","9 March2020","10-19",85,0
"12",2,"Italy","9 March2020","20-29",296,0
"13",3,"Italy","9 March2020","30-39",470,0
"14",4,"Italy","9 March2020","40-49",891,1
"15",5,"Italy","9 March2020","50-59",1453,3
"16",6,"Italy","9 March2020","60-69",1471,37
"17",7,"Italy","9 March2020","70-79",1785,114
"18",8,"Italy","9 March2020","80+",1532,202
